guard_subset,context_length_name,unsafe_prompt_position,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
wildguard,32k,middle,36,36,18,19,52.77777777777778,17,47.22222222222222,19,52.77777777777778,0,0.0,17,89.47368421052632,0,0.0,2,10.526315789473685,17,89.47368421052632,2,10.526315789473685,2.935856029887013,31.394082711109007,0,32558.944444444445,32605.0,3.6291087898943157,4.675632834434509,11.336006134748459,36
wildguard,8k,beginning,36,36,18,36,100.0,0,0.0,36,100.0,0,0.0,31,86.11111111111111,0,0.0,5,13.88888888888889,31,86.11111111111111,5,13.88888888888889,6.081815009132837,28.659530389356203,0,8311.444444444445,8351.5,3.0943159229225583,3.0366068184375763,4.249181538820267,36
wildguard,8k,end,36,36,18,36,100.0,0,0.0,36,100.0,0,0.0,35,97.22222222222223,0,0.0,1,2.7777777777777777,35,97.22222222222223,1,2.7777777777777777,0.49204071398104426,14.169718653273854,0,8309.888888888889,8339.0,3.1978369686338635,2.8880866169929504,4.886585742235184,36
wildguard,8k,middle,36,36,18,36,100.0,0,0.0,36,100.0,0,0.0,33,91.66666666666667,0,0.0,3,8.333333333333334,33,91.66666666666667,3,8.333333333333334,2.874861133599338,21.82669124927263,0,8311.166666666666,8335.0,3.771074030134413,4.0008238554000854,5.851092427968979,36
xguard,32k,beginning,5048,5048,2524,5048,100.0,0,0.0,5048,100.0,157,3.1101426307448494,3873,76.72345483359746,43,0.8518225039619651,1132,22.42472266244057,3916,77.57527733755943,975,19.314580031695723,18.249075770929103,20.42675114777235,157,32563.53328050713,32635.0,7.058110184282678,4.800691664218903,10.55134928226471,5048
xguard,32k,end,5048,5048,2524,5048,100.0,0,0.0,5048,100.0,62,1.2282091917591125,4084,80.90332805071316,4,0.07923930269413629,960,19.01743264659271,4088,80.98256735340729,898,17.789223454833596,16.758884968368786,18.86854858218548,62,32563.49524564184,32631.0,13.603006886888041,10.546489536762238,20.382188725471494,5048
xguard,32k,middle,5046,5046,2524,2607,51.66468489892984,2439,48.33531510107016,2607,51.66468489892984,13,0.49865746068277716,1915,73.45607978519371,1,0.038358266206367474,691,26.505561948599922,1916,73.49443805140008,678,26.006904487917147,24.359171002800363,27.725242404474415,13,32562.45600475624,32359.0,3.6795256105246072,4.680946111679077,11.523603737354279,5046
xguard,8k,beginning,5048,5048,2524,5048,100.0,0,0.0,5048,100.0,20,0.39619651347068147,3935,77.95166402535658,5,0.09904912836767037,1108,21.949286846275754,3940,78.05071315372425,1088,21.55309033280507,20.440638310757457,22.708804849510642,20,8312.109350237717,8381.0,3.278457980514423,3.0640764236450195,4.2998026430606835,5048
xguard,8k,end,5048,5048,2524,5048,100.0,0,0.0,5048,100.0,13,0.25752773375594296,4092,81.06180665610142,5,0.09904912836767037,951,18.839144215530904,4097,81.16085578446909,938,18.58161648177496,17.532669803002356,19.67834471801798,13,8311.55942947702,8389.0,3.355219982552642,3.011562943458557,5.789789199829102,5048
xguard,8k,middle,5048,5048,2524,5048,100.0,0,0.0,5048,100.0,108,2.13946117274168,3662,72.54358161648177,3,0.059429477020602216,1383,27.396988906497622,3665,72.60301109350237,1275,25.257527733755943,24.07806868665284,26.47461551054413,108,8312.015055467511,8393.0,3.9182380940381396,3.9857898950576782,6.1397331893444065,5048
