language,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
Georgian,324,324,27,299,92.28395061728395,25,7.716049382716049,299,92.28395061728395,1,0.33444816053511706,242,80.93645484949833,2,0.6688963210702341,55,18.39464882943144,244,81.60535117056857,54,18.06020066889632,14.11384072818343,22.81685537142591,1,20458.79938271605,20273.5,5.651286702833058,4.450140506029129,18.316894936561585,0
German,264,264,22,243,92.04545454545455,21,7.954545454545454,243,92.04545454545455,1,0.411522633744856,206,84.77366255144032,1,0.411522633744856,36,14.814814814814815,207,85.18518518518519,35,14.40329218106996,10.54212716144289,19.37240144873383,1,20434.871212121212,20262.0,5.801148882869518,4.416244149208069,18.27025454044342,0
Greek,324,324,27,299,92.28395061728395,25,7.716049382716049,299,92.28395061728395,0,0.0,270,90.3010033444816,1,0.33444816053511706,28,9.364548494983278,271,90.63545150501672,28,9.364548494983278,6.558556658022504,13.201438903260588,0,20419.58950617284,20236.0,5.702251741547643,4.456381380558014,18.04628581404686,0
Gujarati,312,312,26,288,92.3076923076923,24,7.6923076923076925,288,92.3076923076923,1,0.3472222222222222,245,85.06944444444444,1,0.3472222222222222,42,14.583333333333334,246,85.41666666666667,41,14.23611111111111,10.670444822548452,18.743285210042515,1,20442.69230769231,20265.5,6.252392532924811,4.456762492656708,18.973627269268036,0
Hausa,420,420,35,388,92.38095238095238,32,7.619047619047619,388,92.38095238095238,15,3.865979381443299,292,75.25773195876289,0,0.0,96,24.742268041237114,292,75.25773195876289,81,20.876288659793815,17.127551791894906,25.196060242375022,15,20435.595238095237,20263.5,5.917879100072952,4.392710983753204,18.701912128925322,0
Hebrew,300,300,25,276,92.0,24,8.0,276,92.0,0,0.0,240,86.95652173913044,4,1.4492753623188406,32,11.594202898550725,244,88.40579710144928,32,11.594202898550725,8.333491298532628,15.909327870074879,0,20447.506666666668,20269.0,5.7130917205413185,4.446806490421295,18.28176031112671,0
Hindi,276,276,23,254,92.02898550724638,22,7.971014492753623,254,92.02898550724638,0,0.0,211,83.07086614173228,1,0.3937007874015748,42,16.53543307086614,212,83.46456692913385,42,16.53543307086614,12.472166853479772,21.59584502578131,0,20423.260869565216,20237.5,5.774674147367477,4.426997601985931,18.462711304426193,0
Hungarian,276,276,23,253,91.66666666666667,23,8.333333333333334,253,91.66666666666667,1,0.3952569169960474,232,91.699604743083,0,0.0,21,8.300395256916996,232,91.699604743083,20,7.905138339920948,5.17540361586353,11.894059788524261,1,20435.463768115944,20262.0,5.611361390438633,4.437944442033768,18.28983387351036,0
Icelandic,456,456,38,418,91.66666666666667,38,8.333333333333334,418,91.66666666666667,5,1.1961722488038278,349,83.49282296650718,2,0.4784688995215311,67,16.028708133971293,351,83.97129186602871,62,14.832535885167465,11.745994787513117,18.559575266717562,5,20435.679824561405,20262.0,5.595694724666445,4.438070893287659,16.241213500499725,0
Igbo,672,672,56,616,91.66666666666667,56,8.333333333333334,616,91.66666666666667,19,3.0844155844155843,449,72.8896103896104,0,0.0,167,27.11038961038961,449,72.8896103896104,148,24.025974025974026,20.819679717541607,27.55421566389517,19,20436.33035714286,20263.0,5.449811914048734,4.408949613571167,10.835165178775787,0
