language,context_length_name,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
Estonian,8k,174,174,29,174,100.0,0,0.0,174,100.0,0,0.0,155,89.08045977011494,0,0.0,19,10.919540229885058,155,89.08045977011494,19,10.919540229885058,7.10282133882503,16.424571597644373,0,8309.885057471265,8348.0,3.5408441369560943,3.879004418849945,5.986954069137573,0
Filipino (Tagalog),32k,156,156,26,132,84.61538461538461,24,15.384615384615385,132,84.61538461538461,1,0.7575757575757576,116,87.87878787878788,2,1.5151515151515151,14,10.606060606060606,118,89.39393939393939,13,9.848484848484848,5.846137974381156,16.121720056416187,1,32561.44230769231,32606.5,8.97334980009458,8.69575822353363,19.72462671995163,0
Filipino (Tagalog),8k,156,156,26,156,100.0,0,0.0,156,100.0,0,0.0,140,89.74358974358974,1,0.6410256410256411,15,9.615384615384615,141,90.38461538461539,15,9.615384615384615,5.913836964807807,15.258053651291092,0,8310.73076923077,8336.0,3.4291027986850495,3.696809709072113,4.85365217924118,0
Finnish,32k,168,168,28,143,85.11904761904762,25,14.880952380952381,143,85.11904761904762,0,0.0,131,91.60839160839161,3,2.097902097902098,9,6.293706293706293,134,93.7062937062937,9,6.293706293706293,3.346148829563163,11.528028392664249,0,32557.869047619046,32647.0,8.43976008288917,6.990051627159119,21.735465645790118,0
Finnish,8k,168,168,28,168,100.0,0,0.0,168,100.0,0,0.0,155,92.26190476190476,0,0.0,13,7.738095238095238,155,92.26190476190476,13,7.738095238095238,4.577696410133538,12.78799579562912,0,8309.035714285714,8350.5,3.4041422176219167,3.710710048675537,4.75783760547638,0
French,32k,114,114,19,95,83.33333333333333,19,16.666666666666668,95,83.33333333333333,1,1.0526315789473684,86,90.52631578947368,0,0.0,9,9.473684210526315,86,90.52631578947368,8,8.421052631578947,4.32881153842945,15.745213124326723,1,32562.27192982456,32604.0,6.861495579543867,5.724084973335266,16.006814777851083,0
French,8k,114,114,19,114,100.0,0,0.0,114,100.0,0,0.0,97,85.08771929824562,0,0.0,17,14.912280701754385,97,85.08771929824562,17,14.912280701754385,9.52378373401679,22.588394101691396,0,8308.894736842105,8356.5,3.6272568153707603,3.863577663898468,5.961085778474807,0
Fula,32k,288,288,48,242,84.02777777777777,46,15.972222222222221,242,84.02777777777777,13,5.371900826446281,169,69.83471074380165,0,0.0,73,30.165289256198346,169,69.83471074380165,60,24.793388429752067,19.775113443561548,30.599408174868397,13,32564.902777777777,32608.0,8.298552772237194,8.59541267156601,19.670779478549957,0
Fula,8k,288,288,48,288,100.0,0,0.0,288,100.0,6,2.0833333333333335,209,72.56944444444444,0,0.0,79,27.430555555555557,209,72.56944444444444,73,25.34722222222222,20.670468983423255,30.672975990498674,6,8312.645833333334,8359.5,3.506504838458366,3.7825629115104675,4.864401113986968,0
Galician,32k,132,132,22,111,84.0909090909091,21,15.909090909090908,111,84.0909090909091,0,0.0,93,83.78378378378379,1,0.9009009009009009,17,15.315315315315315,94,84.68468468468468,17,15.315315315315315,9.787476373691051,23.16356692485959,0,32560.022727272728,32604.5,8.193960742968502,5.710745096206665,18.942820161581032,0
Galician,8k,132,132,22,132,100.0,0,0.0,132,100.0,0,0.0,105,79.54545454545455,1,0.7575757575757576,26,19.696969696969695,106,80.3030303030303,26,19.696969696969695,13.811211668468037,27.29660571326581,0,8310.439393939394,8348.5,3.4412687434391542,3.80101215839386,5.159185212850566,0
Ganda,32k,366,366,61,309,84.42622950819673,57,15.573770491803279,309,84.42622950819673,19,6.148867313915858,207,66.99029126213593,0,0.0,102,33.00970873786408,207,66.99029126213593,83,26.86084142394822,22.225187019804558,32.06475890390346,19,32564.15300546448,32656.5,8.577603395356507,8.580496430397034,19.8857783973217,0
Ganda,8k,366,366,61,366,100.0,0,0.0,366,100.0,10,2.73224043715847,243,66.39344262295081,0,0.0,123,33.60655737704918,243,66.39344262295081,113,30.87431693989071,26.36054094844056,35.78540114079543,10,8309.658469945356,8358.5,3.500177450844499,3.8230695724487305,5.845564633607864,0
Georgian,32k,162,162,27,137,84.5679012345679,25,15.432098765432098,137,84.5679012345679,1,0.7299270072992701,113,82.48175182481752,1,0.7299270072992701,23,16.78832116788321,114,83.21167883211679,22,16.05839416058394,10.850401063157399,23.11790572753077,1,32584.83950617284,32654.5,7.892984399824966,5.644158601760864,19.318011969327927,0
Georgian,8k,162,162,27,162,100.0,0,0.0,162,100.0,0,0.0,129,79.62962962962963,1,0.6172839506172839,32,19.753086419753085,130,80.24691358024691,32,19.753086419753085,14.353889090331643,26.553528935967506,0,8332.75925925926,8393.5,3.4095890058411493,3.73590487241745,4.9060783863067625,0
German,32k,132,132,22,111,84.0909090909091,21,15.909090909090908,111,84.0909090909091,0,0.0,94,84.68468468468468,1,0.9009009009009009,16,14.414414414414415,95,85.58558558558559,16,14.414414414414415,9.07151993508928,22.13799202056658,0,32560.840909090908,32603.5,8.07709930204984,8.5299574136734,18.64392336010933,0
German,8k,132,132,22,132,100.0,0,0.0,132,100.0,1,0.7575757575757576,112,84.84848484848484,0,0.0,20,15.151515151515152,112,84.84848484848484,19,14.393939393939394,9.41256577020145,21.389119653335822,1,8308.901515151516,8350.5,3.5251984636891973,3.8136707544326782,4.929400259256362,0
Greek,32k,162,162,27,137,84.5679012345679,25,15.432098765432098,137,84.5679012345679,0,0.0,123,89.78102189781022,1,0.7299270072992701,13,9.489051094890511,124,90.51094890510949,13,9.489051094890511,5.629472764993749,15.558506307763098,0,32543.364197530864,32604.0,7.880084722130387,8.481909155845642,19.171050035953517,0
Greek,8k,162,162,27,162,100.0,0,0.0,162,100.0,0,0.0,147,90.74074074074075,0,0.0,15,9.25925925925926,147,90.74074074074075,15,9.25925925925926,5.691602611215609,14.714307383391418,0,8295.814814814816,8341.0,3.5244187609649,3.7881566286087036,5.855916267633428,0
Gujarati,32k,156,156,26,132,84.61538461538461,24,15.384615384615385,132,84.61538461538461,1,0.7575757575757576,112,84.84848484848484,1,0.7575757575757576,19,14.393939393939394,113,85.60606060606061,18,13.636363636363637,8.80284588681822,20.526534971262397,1,32568.79487179487,32622.0,9.152858431522663,8.56894075870514,22.755019903182983,0
Gujarati,8k,156,156,26,156,100.0,0,0.0,156,100.0,0,0.0,133,85.25641025641026,0,0.0,23,14.743589743589743,133,85.25641025641026,23,14.743589743589743,10.029700652498462,21.15210861552438,0,8316.589743589744,8347.0,3.351926634326959,3.2029454112052917,5.194543182849884,0
Hausa,32k,210,210,35,178,84.76190476190476,32,15.238095238095237,178,84.76190476190476,11,6.179775280898877,129,72.47191011235955,0,0.0,49,27.528089887640448,129,72.47191011235955,38,21.348314606741575,15.967149325053114,27.940031874709625,11,32560.77142857143,32605.5,8.42023877047357,5.7429022789001465,19.86648823618889,0
Hausa,8k,210,210,35,210,100.0,0,0.0,210,100.0,4,1.9047619047619047,163,77.61904761904762,0,0.0,47,22.38095238095238,163,77.61904761904762,43,20.476190476190474,15.572134471520416,26.440980906646782,4,8310.419047619047,8335.5,3.415519429672332,3.8296295404434204,4.7662041664123524,0
Hebrew,32k,150,150,25,126,84.0,24,16.0,126,84.0,0,0.0,112,88.88888888888889,2,1.5873015873015872,12,9.523809523809524,114,90.47619047619048,12,9.523809523809524,5.5321615435369305,15.910495581212466,0,32574.046666666665,32626.0,7.9160778212547305,5.555033564567566,19.079544627666465,0
Hebrew,8k,150,150,25,150,100.0,0,0.0,150,100.0,0,0.0,128,85.33333333333333,2,1.3333333333333333,20,13.333333333333334,130,86.66666666666667,20,13.333333333333334,8.79980047055142,19.6980174497742,0,8320.966666666667,8353.5,3.510105619827906,3.762367844581604,5.3813339293003075,0
Hindi,32k,138,138,23,116,84.05797101449275,22,15.942028985507246,116,84.05797101449275,0,0.0,99,85.34482758620689,0,0.0,17,14.655172413793103,99,85.34482758620689,17,14.655172413793103,9.355750075335658,22.220516763431903,0,32549.1884057971,32647.5,8.073364126509514,5.8077733516693115,19.03221029043198,0
Hindi,8k,138,138,23,138,100.0,0,0.0,138,100.0,0,0.0,112,81.15942028985508,1,0.7246376811594203,25,18.115942028985508,113,81.8840579710145,25,18.115942028985508,12.582544563475533,25.376356358966802,0,8297.333333333334,8323.0,3.47598416822544,3.8202860355377197,5.514176410436632,0
